6.50E-05	6.10E-05	5.30E-05	6.20E-05	7.40E-05	7.60E-05	9.90E-05	7.90E-05	5.00E-05	9.00E-05	1.10E-05	1.00E-06	-7.00E-06	-1.20E-05	-6.00E-06	-8.00E-06	2.00E-05	4.80E-05	8.30E-05	9.80E-05	7.60E-05	2.50E-05	6.30E-05	5.80E-05
6.70E-05	6.30E-05	5.40E-05	6.30E-05	7.60E-05	7.80E-05	0.000101	8.10E-05	5.10E-05	9.20E-05	1.10E-05	0	-8.00E-06	-1.20E-05	-7.00E-06	-8.00E-06	2.10E-05	4.90E-05	8.50E-05	0.000101	7.80E-05	2.50E-05	6.50E-05	5.90E-05
6.90E-05	6.40E-05	5.50E-05	6.40E-05	7.70E-05	7.90E-05	0.000103	8.30E-05	5.20E-05	9.40E-05	1.10E-05	0	-8.00E-06	-1.30E-05	-7.00E-06	-8.00E-06	2.10E-05	5.00E-05	8.70E-05	0.000104	8.00E-05	2.50E-05	6.60E-05	6.10E-05
7.00E-05	6.60E-05	5.60E-05	6.50E-05	7.90E-05	8.00E-05	0.000105	8.40E-05	5.30E-05	9.50E-05	1.00E-05	0	-9.00E-06	-1.30E-05	-7.00E-06	-8.00E-06	2.10E-05	5.10E-05	8.90E-05	0.000106	8.10E-05	2.60E-05	6.70E-05	6.20E-05
7.20E-05	6.70E-05	5.70E-05	6.60E-05	8.00E-05	8.10E-05	0.000106	8.60E-05	5.40E-05	9.70E-05	1.00E-05	-1.00E-06	-9.00E-06	-1.30E-05	-7.00E-06	-9.00E-06	2.20E-05	5.20E-05	9.10E-05	0.000108	8.20E-05	2.60E-05	6.80E-05	6.30E-05
7.30E-05	6.80E-05	5.80E-05	6.70E-05	8.10E-05	8.20E-05	0.000108	8.70E-05	5.50E-05	9.80E-05	1.00E-05	-1.00E-06	-9.00E-06	-1.40E-05	-7.00E-06	-9.00E-06	2.20E-05	5.30E-05	9.30E-05	0.00011	8.30E-05	2.60E-05	6.90E-05	6.40E-05
7.40E-05	6.90E-05	5.90E-05	6.70E-05	8.10E-05	8.20E-05	0.000109	8.70E-05	5.50E-05	9.80E-05	1.00E-05	-1.00E-06	-1.00E-05	-1.40E-05	-8.00E-06	-9.00E-06	2.20E-05	5.30E-05	9.40E-05	0.000111	8.40E-05	2.60E-05	7.00E-05	6.40E-05
7.50E-05	7.00E-05	5.90E-05	6.70E-05	8.20E-05	8.30E-05	0.000109	8.80E-05	5.50E-05	9.90E-05	1.00E-05	-2.00E-06	-1.00E-05	-1.40E-05	-8.00E-06	-9.00E-06	2.20E-05	5.40E-05	9.50E-05	0.000112	8.50E-05	2.60E-05	7.10E-05	6.50E-05
7.60E-05	7.10E-05	5.90E-05	6.80E-05	8.20E-05	8.30E-05	0.00011	8.90E-05	5.60E-05	9.90E-05	9.00E-06	-2.00E-06	-1.10E-05	-1.50E-05	-8.00E-06	-9.00E-06	2.20E-05	5.40E-05	9.60E-05	0.000114	8.50E-05	2.60E-05	7.10E-05	6.50E-05
7.70E-05	7.10E-05	6.00E-05	6.80E-05	8.20E-05	8.30E-05	0.00011	8.90E-05	5.60E-05	9.90E-05	9.00E-06	-3.00E-06	-1.10E-05	-1.50E-05	-8.00E-06	-9.00E-06	2.30E-05	5.50E-05	9.70E-05	0.000114	8.60E-05	2.60E-05	7.20E-05	6.60E-05
7.80E-05	7.20E-05	6.00E-05	6.70E-05	8.20E-05	8.30E-05	0.000111	8.90E-05	5.60E-05	9.90E-05	9.00E-06	-3.00E-06	-1.10E-05	-1.50E-05	-8.00E-06	-9.00E-06	2.30E-05	5.50E-05	9.80E-05	0.000115	8.60E-05	2.60E-05	7.20E-05	6.60E-05
7.90E-05	7.20E-05	6.00E-05	6.70E-05	8.20E-05	8.30E-05	0.00011	8.90E-05	5.60E-05	9.90E-05	8.00E-06	-4.00E-06	-1.20E-05	-1.50E-05	-8.00E-06	-9.00E-06	2.30E-05	5.50E-05	9.80E-05	0.000115	8.60E-05	2.60E-05	7.20E-05	6.60E-05
8.10E-05	7.20E-05	6.00E-05	6.70E-05	8.20E-05	8.20E-05	0.00011	8.80E-05	5.50E-05	9.80E-05	8.00E-06	-4.00E-06	-1.20E-05	-1.50E-05	-9.00E-06	-9.00E-06	2.30E-05	5.50E-05	9.80E-05	0.000116	8.60E-05	2.60E-05	7.20E-05	6.60E-05
8.20E-05	7.20E-05	6.00E-05	6.60E-05	8.10E-05	8.10E-05	0.00011	8.80E-05	5.50E-05	9.70E-05	8.00E-06	-4.00E-06	-1.20E-05	-1.60E-05	-9.00E-06	-9.00E-06	2.20E-05	5.50E-05	9.90E-05	0.000116	8.50E-05	2.60E-05	7.20E-05	6.60E-05
8.30E-05	7.20E-05	6.00E-05	6.60E-05	8.10E-05	8.10E-05	0.000109	8.70E-05	5.40E-05	9.70E-05	7.00E-06	-5.00E-06	-1.30E-05	-1.60E-05	-9.00E-06	-9.00E-06	2.20E-05	5.50E-05	9.90E-05	0.000115	8.50E-05	2.50E-05	7.20E-05	6.60E-05
8.40E-05	7.20E-05	5.90E-05	6.50E-05	8.00E-05	8.00E-05	0.000108	8.60E-05	5.40E-05	9.60E-05	7.00E-06	-5.00E-06	-1.30E-05	-1.60E-05	-9.00E-06	-9.00E-06	2.20E-05	5.50E-05	9.80E-05	0.000115	8.40E-05	2.50E-05	7.10E-05	6.60E-05
8.50E-05	7.20E-05	5.90E-05	6.40E-05	7.90E-05	7.90E-05	0.000107	8.50E-05	5.30E-05	9.40E-05	6.00E-06	-6.00E-06	-1.30E-05	-1.60E-05	-9.00E-06	-9.00E-06	2.20E-05	5.40E-05	9.80E-05	0.000114	8.30E-05	2.50E-05	7.10E-05	6.50E-05
8.60E-05	7.20E-05	5.90E-05	6.30E-05	7.80E-05	7.70E-05	0.000105	8.40E-05	5.20E-05	9.30E-05	6.00E-06	-6.00E-06	-1.40E-05	-1.60E-05	-9.00E-06	-9.00E-06	2.20E-05	5.40E-05	9.80E-05	0.000114	8.20E-05	2.40E-05	7.10E-05	6.50E-05
8.80E-05	7.20E-05	5.80E-05	6.20E-05	7.70E-05	7.60E-05	0.000104	8.30E-05	5.10E-05	9.10E-05	5.00E-06	-7.00E-06	-1.40E-05	-1.60E-05	-9.00E-06	-9.00E-06	2.20E-05	5.40E-05	9.70E-05	0.000113	8.10E-05	2.40E-05	7.00E-05	6.40E-05
9.00E-05	7.20E-05	5.80E-05	6.10E-05	7.60E-05	7.50E-05	0.000103	8.10E-05	5.00E-05	9.00E-05	4.00E-06	-8.00E-06	-1.40E-05	-1.60E-05	-9.00E-06	-9.00E-06	2.10E-05	5.30E-05	9.60E-05	0.000112	8.00E-05	2.30E-05	6.90E-05	6.40E-05
9.10E-05	7.10E-05	5.70E-05	6.00E-05	7.50E-05	7.30E-05	0.000101	8.00E-05	4.90E-05	8.80E-05	4.00E-06	-8.00E-06	-1.40E-05	-1.60E-05	-9.00E-06	-9.00E-06	2.10E-05	5.30E-05	9.50E-05	0.00011	7.90E-05	2.30E-05	6.90E-05	6.30E-05
9.20E-05	7.10E-05	5.70E-05	5.90E-05	7.40E-05	7.20E-05	9.90E-05	7.80E-05	4.80E-05	8.60E-05	3.00E-06	-9.00E-06	-1.50E-05	-1.60E-05	-1.00E-05	-9.00E-06	2.10E-05	5.20E-05	9.50E-05	0.000109	7.80E-05	2.20E-05	6.80E-05	6.20E-05
9.40E-05	7.20E-05	5.70E-05	5.80E-05	7.20E-05	7.00E-05	9.70E-05	7.60E-05	4.70E-05	8.40E-05	3.00E-06	-9.00E-06	-1.50E-05	-1.60E-05	-1.00E-05	-9.00E-06	2.00E-05	5.20E-05	9.40E-05	0.000108	7.60E-05	2.20E-05	6.70E-05	6.10E-05
